code,name,year,gcse
E06000001,hartlepool,2009,49.6
E06000002,middlesbrough,2009,44.2
E06000003,redcar and cleveland,2009,53.2
E06000004,stockton-on-tees,2009,52.9
E06000005,darlington,2009,54.7
E06000006,halton,2009,50.1
E06000007,warrington,2009,61.3
E06000008,blackburn with darwen,2009,51.9
E06000009,blackpool,2009,47.8
E06000010,"kingston upon hull, city of",2009,42.3
E06000011,east riding of yorkshire,2009,58.6
E06000012,north east lincolnshire,2009,54.2
E06000013,north lincolnshire,2009,51.5
E06000014,york,2009,59.1
E06000015,derby,2009,55.1
E06000016,leicester,2009,48.9
E06000017,rutland,2009,61.4
E06000018,nottingham,2009,44.2
E06000019,"herefordshire, county of",2009,56.0
E06000020,telford and wrekin,2009,55.9
E06000021,stoke-on-trent,2009,48.4
E06000022,bath and north east somerset,2009,61.0
E06000023,"bristol, city of",2009,46.2
E06000024,north somerset,2009,56.1
E06000025,south gloucestershire,2009,56.0
E06000026,plymouth,2009,54.2
E06000027,torbay,2009,54.1
E06000028,bournemouth,2009,56.5
E06000029,poole,2009,55.3
E06000030,swindon,2009,49.9
E06000031,peterborough,2009,45.5
E06000032,luton,2009,52.2
E06000033,southend-on-sea,2009,61.8
E06000034,thurrock,2009,56.8
E06000035,medway,2009,53.6
E06000036,bracknell forest,2009,56.9
E06000037,west berkshire,2009,60.7
E06000038,reading,2009,54.7
E06000039,slough,2009,63.1
E06000040,windsor and maidenhead,2009,63.6
E06000041,wokingham,2009,65.6
E06000042,milton keynes,2009,51.5
E06000043,brighton and hove,2009,49.1
E06000044,portsmouth,2009,42.8
E06000045,southampton,2009,47.5
E06000046,isle of wight,2009,45.5
E06000047,county durham,2009,55.8
E06000048,northumberland,2009,54.0
E06000049,cheshire east,2009,62.5
E06000050,cheshire west and chester,2009,56.4
E06000051,shropshire,2009,57.8
E06000052,cornwall,2009,53.8
E06000053,isles of scilly,2009,68.2
E06000054,wiltshire,2009,55.8
E06000055,bedford,2009,50.8
E06000056,central bedfordshire,2009,54.2
E08000001,bolton,2009,53.2
E08000002,bury,2009,62.1
E08000003,manchester,2009,45.7
E08000004,oldham,2009,51.9
E08000005,rochdale,2009,51.4
E08000006,salford,2009,49.8
E08000007,stockport,2009,61.9
E08000008,tameside,2009,49.7
E08000009,trafford,2009,68.5
E08000010,wigan,2009,56.0
E08000011,knowsley,2009,38.0
E08000012,liverpool,2009,53.0
E08000013,st. helens,2009,52.8
E08000014,sefton,2009,55.8
E08000015,wirral,2009,58.7
E08000016,barnsley,2009,40.2
E08000017,doncaster,2009,51.4
E08000018,rotherham,2009,50.8
E08000019,sheffield,2009,49.2
E08000020,gateshead,2009,54.2
E08000021,newcastle upon tyne,2009,49.5
E08000022,north tyneside,2009,53.1
E08000023,south tyneside,2009,53.9
E08000024,sunderland,2009,52.6
E08000025,birmingham,2009,54.9
E08000026,coventry,2009,51.7
E08000027,dudley,2009,56.4
E08000028,sandwell,2009,43.6
E08000029,solihull,2009,60.1
E08000030,walsall,2009,49.5
E08000031,wolverhampton,2009,52.1
E08000032,bradford,2009,44.4
E08000033,calderdale,2009,54.5
E08000034,kirklees,2009,52.8
E08000035,leeds,2009,50.6
E08000036,wakefield,2009,55.8
E09000002,barking and dagenham,2009,51.6
E09000003,barnet,2009,67.3
E09000004,bexley,2009,59.8
E09000005,brent,2009,60.1
E09000006,bromley,2009,65.1
E09000007,camden,2009,53.1
E09000008,croydon,2009,54.4
E09000009,ealing,2009,58.7
E09000010,enfield,2009,55.3
E09000011,greenwich,2009,50.1
E09000012,hackney,2009,55.3
E09000013,hammersmith and fulham,2009,68.2
E09000014,haringey,2009,48.0
E09000015,harrow,2009,60.7
E09000016,havering,2009,62.3
