code,name,road-length,year
E06000047,county durham ua,2328.3,2020
E06000005,darlington ua,348.7,2020
E06000001,hartlepool ua,256.1,2020
E06000002,middlesbrough ua,335.0,2020
E06000057,northumberland ua ,3188.7,2020
E06000003,redcar and cleveland ua,427.6,2020
E06000004,stockton-on-tees ua,558.5,2020
E08000037,gateshead,565.3,2020
E08000021,newcastle upon tyne,616.1,2020
E08000022,north tyneside,505.0,2020
E08000023,south tyneside,354.1,2020
E08000024,sunderland,729.8,2020
E06000008,blackburn with darwen ua,345.9,2020
E06000009,blackpool ua,284.4,2020
E06000049,cheshire east ua,1815.4,2020
E06000050,cheshire west and chester ua,1522.0,2020
E06000006,halton ua,369.6,2020
E06000007,warrington ua,621.5,2020
E10000006,cumbria ,5004.0,2020
E08000001,bolton,621.7,2020
E08000002,bury,423.7,2020
E08000003,manchester,863.9,2020
E08000004,oldham ,514.6,2020
E08000005,rochdale,490.0,2020
E08000006,salford,504.5,2020
E08000007,stockport,625.3,2020
E08000008,tameside,478.7,2020
E08000009,trafford,499.4,2020
E08000010,wigan,726.0,2020
E10000017,lancashire ,4396.3,2020
E08000011,knowsley ,372.9,2020
E08000012,liverpool,893.6,2020
E08000014,sefton,617.8,2020
E08000013,st. helens,461.4,2020
E08000015,wirral,756.0,2020
E06000011,east riding of yorkshire ua,2163.0,2020
E06000010,"kingston upon hull, city of ua",482.0,2020
E06000012,north east lincolnshire ua,409.1,2020
E06000013,north lincolnshire ua,882.2,2020
E06000014,york ua,507.4,2020
E10000023,north yorkshire ,5714.8,2020
E08000016,barnsley,755.6,2020
E08000017,doncaster,1044.0,2020
E08000018,rotherham ,760.4,2020
E08000019,sheffield,1225.0,2020
E08000032,bradford,1209.8,2020
E08000033,calderdale,714.0,2020
E08000034,kirklees ,1189.8,2020
E08000035,leeds,1900.8,2020
E08000036,wakefield,984.5,2020
E06000015,derby ua,483.3,2020
E06000016,leicester ua,516.9,2020
E06000018,nottingham ua,504.2,2020
E06000017,rutland ua,346.3,2020
E10000007,derbyshire ,3512.7,2020
E10000018,leicestershire ,2903.9,2020
E10000019,lincolnshire,5577.0,2020
E10000021,northamptonshire,2942.9,2020
E10000024,nottinghamshire ,3019.7,2020
E06000019,"herefordshire, county of ua",2082.9,2020
E06000051,shropshire ua,3239.8,2020
E06000021,stoke-on-trent ua,548.0,2020
E06000020,telford and wrekin ua,670.0,2020
E10000028,staffordshire ,3955.9,2020
E10000031,warwickshire,2640.5,2020
E08000025,birmingham,1601.3,2020
E08000026,coventry,558.8,2020
E08000027,dudley ,644.2,2020
E08000028,sandwell ,563.4,2020
E08000029,solihull,550.5,2020
E08000030,walsall,544.8,2020
E08000031,wolverhampton,486.6,2020
E10000034,worcestershire ,2664.8,2020
E06000055,bedford ua ,585.3,2020
E06000056,central bedfordshire ua ,974.2,2020
E06000032,luton ua,289.7,2020
E06000031,peterborough ua,608.6,2020
E06000033,southend-on-sea ua,284.2,2020
E06000034,thurrock ua,371.4,2020
E10000003,cambridgeshire ,3005.1,2020
E10000012,essex ,5165.9,2020
E10000015,hertfordshire,3134.6,2020
E10000020,norfolk,6220.1,2020
E10000029,suffolk,4350.8,2020
E09000007,camden,173.2,2020
E09000001,city of london,34.4,2020
E09000012,hackney,168.3,2020
E09000013,hammersmith and fulham,136.6,2020
E09000014,haringey,221.2,2020
E09000019,islington,147.8,2020
E09000020,kensington and chelsea,128.3,2020
E09000022,lambeth,234.3,2020
E09000023,lewisham,277.6,2020
E09000025,newham,266.8,2020
E09000028,southwark,242.9,2020
E09000030,tower hamlets,177.4,2020
E09000032,wandsworth,268.3,2020
E09000033,westminster,209.6,2020
E09000002,barking and dagenham,211.5,2020
E09000003,barnet,474.9,2020
E09000004,bexley,342.0,2020
E09000005,brent,304.0,2020
E09000006,bromley,561.8,2020
E09000008,croydon,482.7,2020
E09000009,ealing,365.2,2020
E09000010,enfield,395.6,2020
E09000011,greenwich,314.1,2020
E09000015,harrow,295.6,2020
E09000016,havering,409.8,2020
E09000017,hillingdon,474.2,2020
E09000018,hounslow,311.8,2020
E09000021,kingston upon thames,214.1,2020
E09000024,merton,234.9,2020
E09000026,redbridge,331.8,2020
E09000027,richmond upon thames,256.5,2020
E09000029,sutton,269.1,2020
E09000031,waltham forest,263.5,2020
E06000036,bracknell forest ua,298.0,2020
E06000043,brighton and hove ua,386.1,2020
E06000046,isle of wight ua,548.3,2020
E06000035,medway ua,534.3,2020
E06000042,milton keynes ua,815.5,2020
E06000044,portsmouth ua,285.0,2020
E06000038,reading ua,246.8,2020
E06000039,slough ua,200.8,2020
E06000045,southampton ua,363.1,2020
E06000037,west berkshire ua,880.0,2020
E06000040,windsor and maidenhead ua,425.3,2020
E06000041,wokingham ua,495.8,2020
E06000060,buckinghamshire ,2069.0,2020
E10000011,east sussex ,2124.6,2020
E10000014,hampshire ,5612.3,2020
E10000016,kent ,5751.0,2020
E10000025,oxfordshire,2997.4,2020
E10000030,surrey,3440.6,2020
E10000032,west sussex,2692.0,2020
E06000022,bath and north east somerset ua,674.0,2020
E06000058,"bournemouth, christchurch and poole ua",788.9,2020
E06000023,"bristol, city of ua",724.2,2020
E06000052,cornwall ua ,4633.3,2020
E06000053,isles of scilly ua,21.4,2020
E06000024,north somerset ua,731.0,2020
E06000026,plymouth ua,520.1,2020
E06000025,south gloucestershire ua,997.7,2020
E06000030,swindon ua,583.9,2020
E06000027,torbay ua,329.6,2020
E06000054,wiltshire ua ,3006.8,2020
E10000008,devon ,8094.0,2020
E06000059,dorset ua,2542.7,2020
E10000013,gloucestershire ,3499.0,2020
E10000027,somerset,4237.7,2020
W06000001,isle of anglesey,753.5,2020
W06000002,gwynedd,1552.8,2020
W06000003,conwy,1024.3,2020
W06000004,denbighshire,892.0,2020
W06000005,flintshire,799.2,2020
W06000006,wrexham,754.2,2020
W06000023,powys,3328.8,2020
W06000008,ceredigion,1407.7,2020
W06000009,pembrokeshire,1620.5,2020
W06000010,carmarthenshire,2221.2,2020
W06000011,swansea,726.7,2020
W06000012,neath port talbot,545.9,2020
W06000013,bridgend,504.1,2020
W06000014,the vale of glamorgan,582.9,2020
W06000015,cardiff,682.0,2020
W06000016,rhondda cynon taf,751.0,2020
W06000024,merthyr tydfil,216.1,2020
W06000018,caerphilly,630.3,2020
W06000019,blaenau gwent,260.5,2020
W06000020,torfaen,299.5,2020
W06000021,monmouthshire,1010.8,2020
W06000022,newport,470.7,2020
S12000033,aberdeen city,654.2,2020
S12000034,aberdeenshire,3893.4,2020
S12000041,angus,1201.5,2020
S12000035,argyll & bute,1673.9,2020
S12000005,clackmannanshire,194.3,2020
S12000006,dumfries and galloway,2902.9,2020
S12000042,dundee city,379.7,2020
S12000008,east ayrshire,827.4,2020
S12000045,east dunbartonshire,343.8,2020
S12000010,east lothian,690.8,2020
S12000011,east renfrewshire,324.3,2020
S12000036,"edinburgh, city of",971.2,2020
S12000013,eilean siar,792.4,2020
S12000014,falkirk,604.3,2020
S12000047,fife,1740.9,2020
S12000049,glasgow city,1189.5,2020
S12000017,highland,4970.6,2020
S12000018,inverclyde,260.2,2020
S12000019,midlothian,430.9,2020
S12000020,moray,1101.0,2020
S12000021,north ayrshire,718.3,2020
S12000050,north lanarkshire,1091.0,2020
S12000023,orkney islands,652.1,2020
S12000048,perth and kinross,1809.9,2020
S12000038,renfrewshire,603.7,2020
S12000026,scottish borders,2022.2,2020
S12000027,shetland islands,643.1,2020
S12000028,south ayrshire,817.5,2020
S12000029,south lanarkshire,1580.1,2020
S12000030,stirling,743.8,2020
S12000039,west dunbartonshire,262.9,2020
S12000040,west lothian,738.7,2020
E06000047,county durham ua,2319.4,2019
E06000005,darlington ua,345.7,2019
E06000001,hartlepool ua,254.4,2019
E06000002,middlesbrough ua,331.0,2019
E06000057,northumberland ua ,3204.1,2019
E06000003,redcar and cleveland ua,426.6,2019
E06000004,stockton-on-tees ua,553.0,2019
E08000037,gateshead,564.5,2019
E08000021,newcastle upon tyne,612.0,2019
E08000022,north tyneside,502.8,2019
E08000023,south tyneside,353.2,2019
E08000024,sunderland,725.0,2019
E06000008,blackburn with darwen ua,344.5,2019
E06000009,blackpool ua,284.3,2019
E06000049,cheshire east ua,1807.2,2019
E06000050,cheshire west and chester ua,1517.7,2019
E06000006,halton ua,368.3,2019
E06000007,warrington ua,621.4,2019
E10000006,cumbria ,5008.7,2019
E08000001,bolton,621.3,2019
E08000002,bury,424.3,2019
E08000003,manchester,863.9,2019
E08000004,oldham ,514.1,2019
E08000005,rochdale,491.7,2019
E08000006,salford,503.3,2019
E08000007,stockport,624.5,2019
E08000008,tameside,478.9,2019
E08000009,trafford,500.2,2019
E08000010,wigan,721.0,2019
E10000017,lancashire ,4378.3,2019
E08000011,knowsley ,368.5,2019
E08000012,liverpool,894.6,2019
E08000014,sefton,616.4,2019
E08000013,st. helens,460.0,2019
E08000015,wirral,756.6,2019
E06000011,east riding of yorkshire ua,2154.4,2019
E06000010,"kingston upon hull, city of ua",479.9,2019
E06000012,north east lincolnshire ua,407.2,2019
E06000013,north lincolnshire ua,881.1,2019
E06000014,york ua,505.8,2019
E10000023,north yorkshire ,5709.3,2019
E08000016,barnsley,753.9,2019
E08000017,doncaster,1039.4,2019
E08000018,rotherham ,758.3,2019
E08000019,sheffield,1223.7,2019
E08000032,bradford,1207.4,2019
E08000033,calderdale,714.4,2019
E08000034,kirklees ,1186.2,2019
E08000035,leeds,1893.8,2019
E08000036,wakefield,981.5,2019
E06000015,derby ua,481.9,2019
E06000016,leicester ua,516.2,2019
E06000018,nottingham ua,503.6,2019
E06000017,rutland ua,346.6,2019
E10000007,derbyshire ,3509.3,2019
E10000018,leicestershire ,2892.9,2019
E10000019,lincolnshire,5567.7,2019
E10000021,northamptonshire,2913.6,2019
E10000024,nottinghamshire ,3015.5,2019
E06000019,"herefordshire, county of ua",2080.6,2019
E06000051,shropshire ua,3232.8,2019
E06000021,stoke-on-trent ua,546.0,2019
E06000020,telford and wrekin ua,664.7,2019
E10000028,staffordshire ,3945.9,2019
E10000031,warwickshire,2625.3,2019
E08000025,birmingham,1598.9,2019
E08000026,coventry,557.6,2019
E08000027,dudley ,641.8,2019
E08000028,sandwell ,562.2,2019
E08000029,solihull,548.1,2019
E08000030,walsall,544.0,2019
E08000031,wolverhampton,484.4,2019
E10000034,worcestershire ,2655.4,2019
E06000055,bedford ua ,578.1,2019
E06000056,central bedfordshire ua ,965.2,2019
E06000032,luton ua,289.0,2019
E06000031,peterborough ua,603.3,2019
E06000033,southend-on-sea ua,284.3,2019
E06000034,thurrock ua,371.4,2019
E10000003,cambridgeshire ,2971.4,2019
E10000012,essex ,5147.9,2019
E10000015,hertfordshire,3123.5,2019
E10000020,norfolk,6208.6,2019
E10000029,suffolk,4341.7,2019
E09000007,camden,173.6,2019
E09000001,city of london,34.5,2019
E09000012,hackney,168.6,2019
E09000013,hammersmith and fulham,136.7,2019
E09000014,haringey,221.6,2019
E09000019,islington,147.9,2019
E09000020,kensington and chelsea,128.5,2019
E09000022,lambeth,234.3,2019
E09000023,lewisham,277.9,2019
E09000025,newham,267.2,2019
E09000028,southwark,243.1,2019
E09000030,tower hamlets,178.5,2019
E09000032,wandsworth,268.7,2019
E09000033,westminster,209.8,2019
E09000002,barking and dagenham,211.6,2019
E09000003,barnet,475.9,2019
E09000004,bexley,342.2,2019
E09000005,brent,304.2,2019
E09000006,bromley,560.9,2019
E09000008,croydon,482.6,2019
E09000009,ealing,366.2,2019
E09000010,enfield,395.7,2019
E09000011,greenwich,313.5,2019
E09000015,harrow,295.9,2019
E09000016,havering,409.4,2019
E09000017,hillingdon,473.3,2019
E09000018,hounslow,312.7,2019
E09000021,kingston upon thames,213.9,2019
E09000024,merton,235.2,2019
E09000026,redbridge,331.8,2019
E09000027,richmond upon thames,257.1,2019
E09000029,sutton,268.8,2019
E09000031,waltham forest,263.7,2019
E06000036,bracknell forest ua,295.0,2019
E06000043,brighton and hove ua,386.2,2019
E06000046,isle of wight ua,549.6,2019
E06000035,medway ua,532.0,2019
E06000042,milton keynes ua,806.2,2019
E06000044,portsmouth ua,285.8,2019
E06000038,reading ua,246.3,2019
E06000039,slough ua,201.1,2019
E06000045,southampton ua,363.6,2019
E06000037,west berkshire ua,879.9,2019
E06000040,windsor and maidenhead ua,426.4,2019
E06000041,wokingham ua,486.9,2019
E10000002,buckinghamshire ,2064.0,2019
E10000011,east sussex ,2119.4,2019
E10000014,hampshire ,5590.5,2019
E10000016,kent ,5736.1,2019
E10000025,oxfordshire,2972.0,2019
E10000030,surrey,3449.0,2019
E10000032,west sussex,2675.0,2019
E06000022,bath and north east somerset ua,670.8,2019
E06000058,"bournemouth, christchurch and poole ua 2",788.0,2019
E06000023,"bristol, city of ua",723.0,2019
E06000052,cornwall ua ,4615.7,2019
E06000053,isles of scilly ua,21.5,2019
E06000024,north somerset ua,729.2,2019
E06000026,plymouth ua,518.9,2019
E06000025,south gloucestershire ua,989.7,2019
E06000030,swindon ua,579.7,2019
E06000027,torbay ua,329.6,2019
E06000054,wiltshire ua ,2991.6,2019
E10000008,devon ,8082.4,2019
E06000059,dorset ua 2,2539.1,2019
E10000013,gloucestershire ,3491.6,2019
E10000027,somerset,4230.0,2019
W06000001,isle of anglesey,752.1,2019
W06000002,gwynedd,1553.1,2019
