code,name,year,traffic-flow
E06000047,county durham,1993,1933
E06000005,darlington,1993,424
E06000001,hartlepool,1993,342
E06000002,middlesbrough,1993,705
E06000057,northumberland,1993,1329
E06000003,redcar and cleveland,1993,523
E06000004,stockton-on-tees,1993,800
E08000037,gateshead,1993,1044
E08000021,newcastle upon tyne,1993,1037
E08000022,north tyneside,1993,728
E08000023,south tyneside,1993,427
E08000024,sunderland,1993,970
E06000008,blackburn with darwen,1993,382
E06000009,blackpool,1993,335
E10000006,cumbria,1993,2837
E06000006,halton,1993,497
E10000017,lancashire,1993,5705
E06000007,warrington,1993,1280
E08000001,bolton,1993,1094
E08000002,bury,1993,799
E08000003,manchester,1993,1534
E08000004,oldham,1993,502
E08000005,rochdale,1993,859
E08000006,salford,1993,1265
E08000007,stockport,1993,983
E08000008,tameside,1993,517
E08000009,trafford,1993,889
E08000010,wigan,1993,1007
E08000011,knowsley,1993,692
E08000012,liverpool,1993,1258
E08000014,sefton,1993,654
E08000013,st. helens,1993,668
E08000015,wirral,1993,877
E06000011,east riding of yorkshire,1993,1624
E06000010,kingston upon hull,1993,681
E06000012,north east lincolnshire,1993,520
E06000013,north lincolnshire,1993,785
E10000023,north yorkshire,1993,3884
E06000014,york,1993,629
E08000016,barnsley,1993,915
E08000017,doncaster,1993,1415
E08000018,rotherham,1993,1176
E08000019,sheffield,1993,1423
E08000032,bradford,1993,1328
E08000033,calderdale,1993,799
E08000034,kirklees,1993,1358
E08000035,leeds,1993,3247
E08000036,wakefield,1993,1329
E06000015,derby,1993,956
E10000007,derbyshire,1993,3778
E06000016,leicester,1993,784
E10000018,leicestershire,1993,3459
E10000019,lincolnshire,1993,2788
E06000018,nottingham,1993,877
E10000024,nottinghamshire,1993,3369
E06000017,rutland,1993,293
E06000019,herefordshire,1993,919
E06000051,shropshire,1993,1516
E10000028,staffordshire,1993,4517
E06000021,stoke-on-trent,1993,734
E06000020,telford and wrekin,1993,693
E10000031,warwickshire,1993,4262
E10000034,worcestershire,1993,3335
E08000025,birmingham,1993,3485
E08000026,coventry,1993,996
E08000027,dudley,1993,968
E08000028,sandwell,1993,1092
E08000029,solihull,1993,1160
E08000030,walsall,1993,821
E08000031,wolverhampton,1993,695
E10000003,cambridgeshire,1993,3524
E10000012,essex,1993,7012
E10000015,hertfordshire,1993,5977
E06000032,luton,1993,440
E10000020,norfolk,1993,4136
E06000031,peterborough,1993,901
E06000033,southend-on-sea,1993,369
E10000029,suffolk,1993,3038
E06000034,thurrock,1993,776
E09000002,barking and dagenham,1993,343
E09000003,barnet,1993,962
E09000004,bexley,1993,540
E09000005,brent,1993,565
E09000006,bromley,1993,785
E09000007,camden,1993,385
E09000001,city of london,1993,124
E09000008,croydon,1993,821
E09000009,ealing,1993,786
E09000010,enfield,1993,892
E09000011,greenwich,1993,672
E09000012,hackney,1993,328
E09000013,hammersmith and fulham,1993,359
