feature,feature_importance
population_{t-1},0.5498017222885315
population_{t-2},0.29407798295173915
gva_C_{t-2},0.013073464117648698
night-employees_{t-2},0.012228784449891146
fuel-consumption_{t-2},0.011897101001563519
gva_G_{t-2},0.011832320633565731
night-employees_{t-1},0.009285307543733077
traffic-flow_{t-2},0.007472758107548435
gva_P_{t-2},0.00696092045295519
gva_O_{t-1},0.0067562092989893055
ghg_total_{t-1},0.00616204340899609
gva_Q_{t-2},0.005345374311602584
traffic-flow_{t-1},0.00473202826511656
gva_K_{t-2},0.004607857642226137
road-length_{t-2},0.0045486465024271675
gva_P_{t-1},0.004364172160670695
gva_Q_{t-1},0.004103278982313217
gva_F_{t-1},0.0037081533872214546
gva_C_{t-1},0.0036307204835348346
gva_F_{t-2},0.0034762548838534356
gva_L_{t-2},0.003272544074332923
gva_O_{t-2},0.003029683257744343
gva_L_{t-1},0.0024339219891185656
gva_G_{t-1},0.0024138700967916552
gva_S_{t-1},0.002112020527233689
gva_J_{t-2},0.0019976871548137314
gva_S_{t-2},0.0018633697051289224
road-length_{t-1},0.0017764982360928682
crime_total_{t-2},0.0016114346331429761
fuel-consumption_{t-1},0.0015594862911694721
gva_R_{t-2},0.0015406898535318182
gva_ABDE_{t-2},0.0009626850793178042
gdp_{t-2},0.0008311708963989377
tax_{t-1},0.0007039681822584835
gdp_{t-1},0.000700318997334775
gva_R_{t-1},0.000625371165202746
gva_H_{t-2},0.0004684895803707074
house-price_{t-2},0.0004625667853835521
gva_N_{t-2},0.0004338335192835224
ghg_total_{t-2},0.0003799663884984164
gva_H_{t-1},0.0003786820765832495
gva_M_{t-2},0.0003640773745542876
gva_J_{t-1},0.0003362739307607688
gva_N_{t-1},0.00033310781956862246
crime_total_{t-1},0.0003310625159638826
gva_ABDE_{t-1},0.00025918023472593066
gva_K_{t-1},0.0001974664412941737
gva_M_{t-1},8.275518234610938e-05
gva_I_{t-2},7.032115126531385e-05
house-price_{t-1},6.579035471238036e-05
unemployment_{t-1},4.956367367795908e-05
gva_I_{t-1},4.899777939984176e-05
gva_T_{t-1},4.715779116684657e-05
tax_{t-2},4.527425971519559e-05
income_{t-1},3.7902267666899005e-05
income_{t-2},3.5421956389166374e-05
unemployment_{t-2},3.113288921970507e-05
gcse_{t-1},1.7153420673902884e-05
gcse_{t-2},1.266525938215471e-05
gva_T_{t-2},1.1336333655718688e-05
